Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0022613,ribonucleoprotein complex biogenesis,19_GO:0071840 cellular component organization or biogenesis,-6.1,2.4,5.7,27994,519,889,39,4.4,0.69,1778|1939|5822|6430|6636|8602|9416|9775|9875|10200|10248|11171|22803|22907|22984|23212|25926|26523|27161|27339|29063|51065|51077|51081|51106|51121|51657|54059|54881|55127|55341|57461|79954|81875|83939|90121|90441|91695|91746,DYNC1H1|EIF2D|PWP2|SRSF5|SNRPF|NOP14|DDX23|EIF4A3|URB1|MPHOSPH6|POP7|STRAP|XRN2|DHX30|PDCD11|RRS1|NOL11|AGO1|AGO2|PRPF19|ZCCHC4|RPS27L|FCF1|MRPS7|TFB1M|RPL26L1|STYXL1|YBEY|TEX10|HEATR1|LSG1|ISY1|NOL10|ISG20L2|EIF2A|TSR2|ZNF622|RRP7BP|YTHDC1,-2.9,100 uM
Reactome Gene Sets,6,R-HSA-211897,Cytochrome P450 - arranged by substrate type,,-6,5.7,7,27994,66,889,12,1.3,0.39,1555|1558|1559|1571|1579|1581|1583|1588|6916|8648|51302|284541,CYP2B6|CYP2C8|CYP2C9|CYP2E1|CYP4A11|CYP7A1|CYP11A1|CYP19A1|TBXAS1|NCOA1|CYP39A1|CYP4A22,-2.8,100 uM
GO Biological Processes,19,GO:0016072,rRNA metabolic process,19_GO:0008152 metabolic process,-5.8,3,5.8,27994,265,889,25,2.8,0.55,2975|2976|5822|8602|9328|9775|9875|10200|10248|22803|22984|23212|25926|29063|51077|51106|54059|54881|55127|55506|79954|81875|90121|91695|112495,GTF3C1|GTF3C2|PWP2|NOP14|GTF3C5|EIF4A3|URB1|MPHOSPH6|POP7|XRN2|PDCD11|RRS1|NOL11|ZCCHC4|FCF1|TFB1M|YBEY|TEX10|HEATR1|MACROH2A2|NOL10|ISG20L2|TSR2|RRP7BP|GTF3C6,-2.6,100 uM
GO Biological Processes,19,GO:0006631,fatty acid metabolic process,19_GO:0008152 metabolic process,-5.8,2.5,5.6,27994,396,889,32,3.6,0.62,31|37|51|337|634|1374|1555|1558|1559|1571|1579|1581|2168|3030|3032|3248|5066|5105|5163|5577|6916|9390|11001|22880|27163|51703|54704|80025|197322|253017|284541|407032,ACACA|ACADVL|ACOX1|APOA4|CEACAM1|CPT1A|CYP2B6|CYP2C8|CYP2C9|CYP2E1|CYP4A11|CYP7A1|FABP1|HADHA|HADHB|HPGD|PAM|PCK1|PDK1|PRKAR2B|TBXAS1|SLC22A13|SLC27A2|MORC2|NAAA|ACSL5|PDP1|PANK2|ACSF3|TECRL|CYP4A22|MIR30C2,-2.6,100 uM
GO Biological Processes,19,GO:0042254,ribosome biogenesis,19_GO:0071840 cellular component organization or biogenesis,-5.6,2.7,5.6,27994,310,889,27,3,0.58,5822|8602|9775|9875|10200|10248|22803|22907|22984|23212|25926|29063|51065|51077|51081|51106|51121|54059|54881|55127|55341|79954|81875|83939|90121|90441|91695,PWP2|NOP14|EIF4A3|URB1|MPHOSPH6|POP7|XRN2|DHX30|PDCD11|RRS1|NOL11|ZCCHC4|RPS27L|FCF1|MRPS7|TFB1M|RPL26L1|YBEY|TEX10|HEATR1|LSG1|NOL10|ISG20L2|EIF2A|TSR2|ZNF622|RRP7BP,-2.5,100 uM
GO Biological Processes,19,GO:0032787,monocarboxylic acid metabolic process,19_GO:0008152 metabolic process,-5.4,2.1,5.1,27994,664,889,44,4.9,0.73,31|37|51|337|634|1244|1374|1555|1558|1559|1571|1579|1581|2168|3030|3032|3248|3939|5066|5105|5163|5230|5577|6566|6916|8876|9390|9972|10762|11001|11182|22880|27163|51302|51341|51703|54704|80025|197322|253017|284541|339761|407032|414328,ACACA|ACADVL|ACOX1|APOA4|CEACAM1|ABCC2|CPT1A|CYP2B6|CYP2C8|CYP2C9|CYP2E1|CYP4A11|CYP7A1|FABP1|HADHA|HADHB|HPGD|LDHA|PAM|PCK1|PDK1|PGK1|PRKAR2B|SLC16A1|TBXAS1|VNN1|SLC22A13|NUP153|NUP50|SLC27A2|SLC2A6|MORC2|NAAA|CYP39A1|ZBTB7A|ACSL5|PDP1|PANK2|ACSF3|TECRL|CYP4A22|CYP27C1|MIR30C2|IDNK,-2.3,100 uM
Reactome Gene Sets,6,R-HSA-8953854,Metabolism of RNA,,-5.2,2.1,5,27994,673,889,44,4.9,0.73,1655|1665|2521|2963|3184|4670|5578|5700|5705|5708|5822|6430|6636|8602|9416|9589|9775|9972|10081|10200|10248|10250|10762|11017|22803|22984|23524|25926|26097|27339|51065|51077|51106|51121|54881|54888|55127|55181|56902|57461|80349|81875|196513|100534599,DDX5|DHX15|FUS|GTF2F2|HNRNPD|HNRNPM|PRKCA|PSMC1|PSMC5|PSMD2|PWP2|SRSF5|SNRPF|NOP14|DDX23|WTAP|EIF4A3|NUP153|PDCD7|MPHOSPH6|POP7|SRRM1|NUP50|SNRNP27|XRN2|PDCD11|SRRM2|NOL11|CHTOP|PRPF19|RPS27L|FCF1|TFB1M|RPL26L1|TEX10|NSUN2|HEATR1|SMG8|PNO1|ISY1|WDR61|ISG20L2|DCP1B|ISY1-RAB43,-2.3,100 uM
GO Biological Processes,19,GO:0090407,organophosphate biosynthetic process,19_GO:0008152 metabolic process,-5.2,2,5,27994,696,889,45,5.1,0.74,31|132|1503|1854|2618|2980|3158|3939|5028|5163|5230|5291|5298|5305|7084|7372|8897|9061|9390|9487|9488|9896|9972|10201|10476|10762|11182|27304|51205|51341|51703|53354|54704|66036|79644|79888|80025|81579|122622|128869|129642|132001|197322|284098|407032,ACACA|ADK|CTPS1|DUT|GART|GUCA2A|HMGCS2|LDHA|P2RY1|PDK1|PGK1|PIK3CB|PI4KB|PIP4K2A|TK2|UMPS|MTMR3|PAPSS1|SLC22A13|PIGL|PIGB|FIG4|NUP153|NME6|ATP5PD|NUP50|SLC2A6|MOCS3|ACP6|ZBTB7A|ACSL5|PANK1|PDP1|MTMR9|SRD5A3|LPCAT1|PANK2|PLA2G12A|ADSS1|PIGU|MBOAT2|TAMM41|ACSF3|PIGW|MIR30C2,-2.3,100 uM
Canonical Pathways,11,M255,PID HIF1 TFPATHWAY,,-5.2,5.2,6.3,27994,66,889,11,1.2,0.37,123|3398|3484|3725|3939|5230|6095|7422|8648|10370|112399,PLIN2|ID2|IGFBP1|JUN|LDHA|PGK1|RORA|VEGFA|NCOA1|CITED2|EGLN3,-2.2,100 uM
GO Biological Processes,19,GO:0042180,cellular ketone metabolic process,19_GO:0008152 metabolic process,-5,2.8,5.2,27994,260,889,23,2.6,0.53,37|337|493|634|1374|1555|1581|1583|1588|2168|2531|3248|5019|5163|5700|5705|5708|6777|9390|51582|54704|80025|407032,ACADVL|APOA4|ATP2B4|CEACAM1|CPT1A|CYP2B6|CYP7A1|CYP11A1|CYP19A1|FABP1|KDSR|HPGD|OXCT1|PDK1|PSMC1|PSMC5|PSMD2|STAT5B|SLC22A13|AZIN1|PDP1|PANK2|MIR30C2,-2.1,100 uM
GO Biological Processes,19,GO:0015718,monocarboxylic acid transport,19_GO:0051179 localization,-5,3.3,5.4,27994,173,889,18,2,0.47,31|123|634|1244|1374|1579|2168|5244|6566|7057|8648|9121|9390|11001|28234|51703|81579|391013,ACACA|PLIN2|CEACAM1|ABCC2|CPT1A|CYP4A11|FABP1|ABCB4|SLC16A1|THBS1|NCOA1|SLC16A5|SLC22A13|SLC27A2|SLCO1B3|ACSL5|PLA2G12A|PLA2G2C,-2.1,100 uM
GO Biological Processes,19,GO:0042791,5S class rRNA transcription by RNA polymerase III,19_GO:0008152 metabolic process,-4.8,21,8.9,27994,6,889,4,0.45,0.22,2975|2976|9328|112495,GTF3C1|GTF3C2|GTF3C5|GTF3C6,-2,100 uM
Reactome Gene Sets,6,R-HSA-8978868,Fatty acid metabolism,,-4.8,3.2,5.3,27994,177,889,18,2,0.47,31|37|51|1374|1558|1559|1579|3030|3032|3248|6916|11001|22880|23597|51703|197322|253017|284541,ACACA|ACADVL|ACOX1|CPT1A|CYP2C8|CYP2C9|CYP4A11|HADHA|HADHB|HPGD|TBXAS1|SLC27A2|MORC2|ACOT9|ACSL5|ACSF3|TECRL|CYP4A22,-2,100 uM
KEGG Pathway,24,hsa03320,PPAR signaling pathway,,-4.8,4.4,5.7,27994,86,889,12,1.3,0.39,51|123|1374|1579|1581|2168|3158|3936|5105|11001|51703|284541,ACOX1|PLIN2|CPT1A|CYP4A11|CYP7A1|FABP1|HMGCS2|LCP1|PCK1|SLC27A2|ACSL5|CYP4A22,-1.9,100 uM
GO Biological Processes,19,GO:0019216,regulation of lipid metabolic process,19_GO:0050789 regulation of biological process,-4.6,2.3,4.8,27994,431,889,31,3.5,0.62,31|37|51|123|337|338|634|1374|1579|1581|2168|3158|3248|3398|5105|5163|5244|5934|6095|6653|6777|8648|8897|9390|27063|54704|66036|79888|80025|158219|407032,ACACA|ACADVL|ACOX1|PLIN2|APOA4|APOB|CEACAM1|CPT1A|CYP4A11|CYP7A1|FABP1|HMGCS2|HPGD|ID2|PCK1|PDK1|ABCB4|RBL2|RORA|SORL1|STAT5B|NCOA1|MTMR3|SLC22A13|ANKRD1|PDP1|MTMR9|LPCAT1|PANK2|TTC39B|MIR30C2,-1.8,100 uM
GO Biological Processes,19,GO:0042274,ribosomal small subunit biogenesis,19_GO:0071840 cellular component organization or biogenesis,-4.6,4.6,5.7,27994,75,889,11,1.2,0.37,5822|8602|23212|25926|51065|51077|51081|55127|79954|90121|91695,PWP2|NOP14|RRS1|NOL11|RPS27L|FCF1|MRPS7|HEATR1|NOL10|TSR2|RRP7BP,-1.8,100 uM
Reactome Gene Sets,6,R-HSA-77305,Beta oxidation of palmitoyl-CoA to myristoyl-CoA,,-4.5,31,9.6,27994,3,889,3,0.34,0.19,37|3030|3032,ACADVL|HADHA|HADHB,-1.8,100 uM
Reactome Gene Sets,6,R-HSA-211945,Phase I - Functionalization of compounds,,-4.5,3.9,5.3,27994,106,889,13,1.5,0.4,314|1555|1558|1559|1571|1579|1581|1583|1588|6916|8648|51302|284541,AOC2|CYP2B6|CYP2C8|CYP2C9|CYP2E1|CYP4A11|CYP7A1|CYP11A1|CYP19A1|TBXAS1|NCOA1|CYP39A1|CYP4A22,-1.8,100 uM
GO Biological Processes,19,GO:0042797,tRNA transcription by RNA polymerase III,19_GO:0008152 metabolic process,-4.5,18,8.1,27994,7,889,4,0.45,0.22,2975|2976|9328|112495,GTF3C1|GTF3C2|GTF3C5|GTF3C6,-1.8,100 uM
Reactome Gene Sets,6,R-HSA-72203,Processing of Capped Intron-Containing Pre-mRNA,,-4.4,2.7,4.9,27994,244,889,21,2.4,0.51,1655|1665|2521|2963|3184|4670|6430|6636|9416|9589|9775|9972|10081|10250|10762|11017|23524|26097|27339|57461|100534599,DDX5|DHX15|FUS|GTF2F2|HNRNPD|HNRNPM|SRSF5|SNRPF|DDX23|WTAP|EIF4A3|NUP153|PDCD7|SRRM1|NUP50|SNRNP27|SRRM2|CHTOP|PRPF19|ISY1|ISY1-RAB43,-1.8,100 uM
GO Biological Processes,19,GO:0006364,rRNA processing,19_GO:0071840 cellular component organization or biogenesis,-4.4,2.8,4.9,27994,227,889,20,2.2,0.5,5822|8602|9775|9875|10200|10248|22803|22984|23212|25926|29063|51077|51106|54059|54881|55127|79954|81875|90121|91695,PWP2|NOP14|EIF4A3|URB1|MPHOSPH6|POP7|XRN2|PDCD11|RRS1|NOL11|ZCCHC4|FCF1|TFB1M|YBEY|TEX10|HEATR1|NOL10|ISG20L2|TSR2|RRP7BP,-1.7,100 uM
GO Biological Processes,19,GO:0010638,positive regulation of organelle organization,19_GO:0048518 positive regulation of biological process,-4.4,2,4.5,27994,640,889,40,4.5,0.7,940|1778|1789|1869|2885|3184|3397|3936|3981|4683|4771|5058|5305|5329|7422|7481|9252|9897|10075|10109|10576|11034|11143|22880|22899|22948|25913|26097|51024|51199|55729|55823|55904|56947|57154|57180|79768|80349|81873|113130,CD28|DYNC1H1|DNMT3B|E2F1|GRB2|HNRNPD|ID1|LCP1|LIG4|NBN|NF2|PAK1|PIP4K2A|PLAUR|VEGFA|WNT11|RPS6KA5|WASHC5|HUWE1|ARPC2|CCT2|DSTN|KAT7|MORC2|ARHGEF15|CCT5|POT1|CHTOP|FIS1|NIN|ATF7IP|VPS11|KMT2E|MFF|SMURF1|ACTR3B|KATNBL1|WDR61|ARPC5L|CDCA5,-1.7,100 uM
GO Biological Processes,19,GO:0001676,long-chain fatty acid metabolic process,19_GO:0008152 metabolic process,-4.2,3.6,5.1,27994,113,889,13,1.5,0.4,51|1374|1555|1558|1559|1571|1579|3248|5066|6916|11001|51703|284541,ACOX1|CPT1A|CYP2B6|CYP2C8|CYP2C9|CYP2E1|CYP4A11|HPGD|PAM|TBXAS1|SLC27A2|ACSL5|CYP4A22,-1.6,100 uM
GO Biological Processes,19,GO:0009304,tRNA transcription,19_GO:0008152 metabolic process,-4.2,16,7.6,27994,8,889,4,0.45,0.22,2975|2976|9328|112495,GTF3C1|GTF3C2|GTF3C5|GTF3C6,-1.6,100 uM
KEGG Pathway,24,ko00071,Fatty acid degradation,,-4.2,5.7,5.7,27994,44,889,8,0.9,0.32,37|51|1374|1579|3030|3032|51703|284541,ACADVL|ACOX1|CPT1A|CYP4A11|HADHA|HADHB|ACSL5|CYP4A22,-1.6,100 uM
GO Biological Processes,19,GO:0046486,glycerolipid metabolic process,19_GO:0008152 metabolic process,-4.2,2.2,4.5,27994,434,889,30,3.4,0.61,337|338|1374|1571|2168|3030|3032|3632|5105|5291|5298|5305|6653|8897|9487|9488|9896|51205|51365|54928|66036|79888|80025|81579|128869|129642|132001|145567|284098|407032,APOA4|APOB|CPT1A|CYP2E1|FABP1|HADHA|HADHB|INPP5A|PCK1|PIK3CB|PI4KB|PIP4K2A|SORL1|MTMR3|PIGL|PIGB|FIG4|ACP6|PLA1A|BPNT2|MTMR9|LPCAT1|PANK2|PLA2G12A|PIGU|MBOAT2|TAMM41|TTC7B|PIGW|MIR30C2,-1.6,100 uM
KEGG Pathway,24,hsa05165,human papillomavirus infection,,-4.2,2.3,4.5,27994,352,889,26,2.9,0.57,1108|1147|1285|1869|2335|2885|3455|3716|3912|3915|5291|5519|5567|5578|5700|5934|6009|7057|7187|7422|7481|8324|22798|23352|55844|84699,CHD4|CHUK|COL4A3|E2F1|FN1|GRB2|IFNAR2|JAK1|LAMB1|LAMC1|PIK3CB|PPP2R1B|PRKACB|PRKCA|PSMC1|RBL2|RHEB|THBS1|TRAF3|VEGFA|WNT11|FZD7|LAMB4|UBR4|PPP2R2D|CREB3L3,-1.6,100 uM
KEGG Pathway,24,ko05222,Small cell lung cancer,,-4.2,4.1,5.2,27994,84,889,11,1.2,0.37,317|329|1147|1285|1869|2335|3912|3915|5291|7187|22798,APAF1|BIRC2|CHUK|COL4A3|E2F1|FN1|LAMB1|LAMC1|PIK3CB|TRAF3|LAMB4,-1.6,100 uM
KEGG Pathway,24,hsa05222,Small cell lung cancer,,-4.1,3.8,5.1,27994,99,889,12,1.3,0.39,317|329|1147|1285|1869|2335|3912|3915|5291|7187|22798|51426,APAF1|BIRC2|CHUK|COL4A3|E2F1|FN1|LAMB1|LAMC1|PIK3CB|TRAF3|LAMB4|POLK,-1.6,100 uM
KEGG Pathway,24,hsa05205,Proteoglycans in cancer,,-4.1,2.7,4.7,27994,218,889,19,2.1,0.49,960|1655|2317|2335|2719|2885|3710|5058|5291|5329|5567|5578|5579|7057|7422|7481|8324|22800|128869,CD44|DDX5|FLNB|FN1|GPC3|GRB2|ITPR3|PAK1|PIK3CB|PLAUR|PRKACB|PRKCA|PRKCB|THBS1|VEGFA|WNT11|FZD7|RRAS2|PIGU,-1.6,100 uM
GO Biological Processes,19,GO:0019217,regulation of fatty acid metabolic process,19_GO:0050789 regulation of biological process,-4.1,3.7,5,27994,101,889,12,1.3,0.39,37|337|634|1374|1581|2168|3248|5163|9390|54704|80025|407032,ACADVL|APOA4|CEACAM1|CPT1A|CYP7A1|FABP1|HPGD|PDK1|SLC22A13|PDP1|PANK2|MIR30C2,-1.5,100 uM
Reactome Gene Sets,6,R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,,-4.1,2.1,4.3,27994,506,889,33,3.7,0.63,1108|1285|1729|1759|2335|2885|2963|3397|3398|3710|3717|3912|3915|4670|5058|5062|5291|5519|5567|5578|5579|5607|6016|6446|6777|7057|7072|7422|8828|9252|9365|11059|23163,CHD4|COL4A3|DIAPH1|DNM1|FN1|GRB2|GTF2F2|ID1|ID2|ITPR3|JAK2|LAMB1|LAMC1|HNRNPM|PAK1|PAK2|PIK3CB|PPP2R1B|PRKACB|PRKCA|PRKCB|MAP2K5|RIT1|SGK1|STAT5B|THBS1|TIA1|VEGFA|NRP2|RPS6KA5|KL|WWP1|GGA3,-1.5,100 uM
KEGG Pathway,24,ko05205,Proteoglycans in cancer,,-4,2.8,4.6,27994,203,889,18,2,0.47,960|1655|2317|2335|2719|2885|3710|5058|5291|5329|5567|5578|5579|7057|7422|7481|8324|22800,CD44|DDX5|FLNB|FN1|GPC3|GRB2|ITPR3|PAK1|PIK3CB|PLAUR|PRKACB|PRKCA|PRKCB|THBS1|VEGFA|WNT11|FZD7|RRAS2,-1.5,100 uM
Reactome Gene Sets,6,R-HSA-2454202,Fc epsilon receptor (FCERI) signaling,,-4,3.3,4.8,27994,134,889,14,1.6,0.42,1147|2885|3710|3725|4775|5058|5062|5291|5532|5700|5705|5708|7321|8945,CHUK|GRB2|ITPR3|JUN|NFATC3|PAK1|PAK2|PIK3CB|PPP3CB|PSMC1|PSMC5|PSMD2|UBE2D1|BTRC,-1.5,100 uM
KEGG Pathway,24,hsa00071,Fatty acid degradation,,-4,5.4,5.4,27994,47,889,8,0.9,0.32,37|51|1374|1579|3030|3032|51703|284541,ACADVL|ACOX1|CPT1A|CYP4A11|HADHA|HADHB|ACSL5|CYP4A22,-1.5,100 uM
KEGG Pathway,24,ko04151,PI3K-Akt signaling pathway,,-4,2.3,4.4,27994,342,889,25,2.8,0.55,1147|1285|1441|2256|2335|2885|3455|3716|3717|3912|3915|5105|5291|5519|5578|5934|6009|6446|7057|7422|22798|51378|55844|84699|118788,CHUK|COL4A3|CSF3R|FGF11|FN1|GRB2|IFNAR2|JAK1|JAK2|LAMB1|LAMC1|PCK1|PIK3CB|PPP2R1B|PRKCA|RBL2|RHEB|SGK1|THBS1|VEGFA|LAMB4|ANGPT4|PPP2R2D|CREB3L3|PIK3AP1,-1.5,100 uM
GO Biological Processes,19,GO:0010565,regulation of cellular ketone metabolic process,19_GO:0050789 regulation of biological process,-3.9,2.8,4.6,27994,189,889,17,1.9,0.46,37|337|493|634|1374|1581|2168|3248|5163|5700|5705|5708|9390|51582|54704|80025|407032,ACADVL|APOA4|ATP2B4|CEACAM1|CPT1A|CYP7A1|FABP1|HPGD|PDK1|PSMC1|PSMC5|PSMD2|SLC22A13|AZIN1|PDP1|PANK2|MIR30C2,-1.5,100 uM
Reactome Gene Sets,6,R-HSA-180024,DARPP-32 events,,-3.9,7.3,5.8,27994,26,889,6,0.67,0.27,5142|5144|5519|5532|5567|5577,PDE4B|PDE4D|PPP2R1B|PPP3CB|PRKACB|PRKAR2B,-1.5,100 uM
Reactome Gene Sets,6,R-HSA-72172,mRNA Splicing,,-3.9,2.8,4.5,27994,191,889,17,1.9,0.46,1655|1665|2521|2963|3184|4670|6430|6636|9416|9775|10081|10250|11017|23524|27339|57461|100534599,DDX5|DHX15|FUS|GTF2F2|HNRNPD|HNRNPM|SRSF5|SNRPF|DDX23|EIF4A3|PDCD7|SRRM1|SNRNP27|SRRM2|PRPF19|ISY1|ISY1-RAB43,-1.5,100 uM
KEGG Pathway,24,hsa00590,Arachidonic acid metabolism,,-3.8,4.5,5,27994,63,889,9,1,0.34,1555|1558|1559|1571|1579|6916|81579|284541|391013,CYP2B6|CYP2C8|CYP2C9|CYP2E1|CYP4A11|TBXAS1|PLA2G12A|CYP4A22|PLA2G2C,-1.4,100 uM
CORUM,33,CORUM:351,Spliceosome,,-3.8,3.1,4.6,27994,141,889,14,1.6,0.42,1655|1659|1665|6430|6636|9416|9589|9775|10250|11017|23524|27339|51755|57461,DDX5|DHX8|DHX15|SRSF5|SNRPF|DDX23|WTAP|EIF4A3|SRRM1|SNRNP27|SRRM2|PRPF19|CDK12|ISY1,-1.4,100 uM
GO Biological Processes,19,GO:0000462,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",19_GO:0071840 cellular component organization or biogenesis,-3.8,5.8,5.4,27994,38,889,7,0.79,0.3,5822|8602|23212|51077|55127|79954|90121,PWP2|NOP14|RRS1|FCF1|HEATR1|NOL10|TSR2,-1.4,100 uM
GO Biological Processes,19,GO:0030258,lipid modification,19_GO:0008152 metabolic process,-3.8,2.4,4.3,27994,271,889,21,2.4,0.51,37|51|337|1374|1558|1571|2168|3030|3032|3632|5291|5298|5305|8897|9896|11001|54928|66036|129642|145567|284541,ACADVL|ACOX1|APOA4|CPT1A|CYP2C8|CYP2E1|FABP1|HADHA|HADHB|INPP5A|PIK3CB|PI4KB|PIP4K2A|MTMR3|FIG4|SLC27A2|BPNT2|MTMR9|MBOAT2|TTC7B|CYP4A22,-1.4,100 uM
GO Biological Processes,19,GO:0097267,omega-hydroxylase P450 pathway,19_GO:0008152 metabolic process,-3.7,13,6.6,27994,10,889,4,0.45,0.22,1558|1559|1579|284541,CYP2C8|CYP2C9|CYP4A11|CYP4A22,-1.4,100 uM
GO Biological Processes,19,GO:0003307,regulation of Wnt signaling pathway involved in heart development,19_GO:0032502 developmental process,-3.7,13,6.6,27994,10,889,4,0.45,0.22,7481|64321|115701|406981,WNT11|SOX17|ALPK2|MIR19B2,-1.4,100 uM
GO Biological Processes,19,GO:0030490,maturation of SSU-rRNA,19_GO:0071840 cellular component organization or biogenesis,-3.7,4.9,5.1,27994,51,889,8,0.9,0.32,5822|8602|23212|25926|51077|55127|79954|90121,PWP2|NOP14|RRS1|NOL11|FCF1|HEATR1|NOL10|TSR2,-1.4,100 uM
CORUM,33,CORUM:1181,C complex spliceosome,,-3.7,4,4.8,27994,79,889,10,1.1,0.35,1655|1659|4670|6636|9416|9775|10250|23524|27339|57461,DDX5|DHX8|HNRNPM|SNRPF|DDX23|EIF4A3|SRRM1|SRRM2|PRPF19|ISY1,-1.4,100 uM
GO Biological Processes,19,GO:0010876,lipid localization,19_GO:0051179 localization,-3.7,2.1,4.1,27994,420,889,28,3.1,0.59,31|123|337|338|634|1244|1374|1401|1579|1588|2168|5244|6777|7057|8542|8648|11001|26207|28234|51454|51703|55252|57488|81579|158219|391013|406981|407032,ACACA|PLIN2|APOA4|APOB|CEACAM1|ABCC2|CPT1A|CRP|CYP4A11|CYP19A1|FABP1|ABCB4|STAT5B|THBS1|APOL1|NCOA1|SLC27A2|PITPNC1|SLCO1B3|GULP1|ACSL5|ASXL2|ESYT2|PLA2G12A|TTC39B|PLA2G2C|MIR19B2|MIR30C2,-1.4,100 uM
KEGG Pathway,24,ko04510,Focal adhesion,,-3.7,2.7,4.3,27994,199,889,17,1.9,0.46,329|1285|1729|2317|2335|2885|3725|3912|3915|5058|5062|5291|5578|5579|7057|7422|22798,BIRC2|COL4A3|DIAPH1|FLNB|FN1|GRB2|JUN|LAMB1|LAMC1|PAK1|PAK2|PIK3CB|PRKCA|PRKCB|THBS1|VEGFA|LAMB4,-1.3,100 uM
GO Biological Processes,19,GO:0043281,regulation of cysteine-type endopeptidase activity involved in apoptotic process,19_GO:0050789 regulation of biological process,-3.6,2.6,4.3,27994,218,889,18,2,0.47,317|329|960|1285|1410|2168|3717|5062|5076|5329|5607|7057|7422|10541|29843|51024|51065|112399,APAF1|BIRC2|CD44|COL4A3|CRYAB|FABP1|JAK2|PAK2|PAX2|PLAUR|MAP2K5|THBS1|VEGFA|ANP32B|SENP1|FIS1|RPS27L|EGLN3,-1.3,100 uM
GO Biological Processes,19,GO:0006623,protein targeting to vacuole,19_GO:0051179 localization,-3.6,5.5,5.2,27994,40,889,7,0.79,0.3,6653|8943|9570|9648|57154|64089|137492,SORL1|AP3D1|GOSR2|GCC2|SMURF1|SNX16|VPS37A,-1.3,100 uM
Reactome Gene Sets,6,R-HSA-3858494,Beta-catenin independent WNT signaling,,-3.6,3,4.4,27994,146,889,14,1.6,0.42,2780|3710|5532|5578|5579|5592|5700|5705|5708|7481|8324|26523|27161|57154,GNAT2|ITPR3|PPP3CB|PRKCA|PRKCB|PRKG1|PSMC1|PSMC5|PSMD2|WNT11|FZD7|AGO1|AGO2|SMURF1,-1.3,100 uM
GO Biological Processes,19,GO:0034660,ncRNA metabolic process,19_GO:0008152 metabolic process,-3.6,1.9,4,27994,580,889,35,3.9,0.65,2961|2963|2975|2976|5822|7407|8518|8602|9328|9775|9875|10200|10248|22803|22984|23212|23248|25926|26173|26523|27161|27304|29063|51077|51106|54059|54881|54888|55127|55506|79954|81875|90121|91695|112495,GTF2E2|GTF2F2|GTF3C1|GTF3C2|PWP2|VARS1|ELP1|NOP14|GTF3C5|EIF4A3|URB1|MPHOSPH6|POP7|XRN2|PDCD11|RRS1|RPRD2|NOL11|INTS1|AGO1|AGO2|MOCS3|ZCCHC4|FCF1|TFB1M|YBEY|TEX10|NSUN2|HEATR1|MACROH2A2|NOL10|ISG20L2|TSR2|RRP7BP|GTF3C6,-1.3,100 uM
GO Biological Processes,19,GO:0071826,ribonucleoprotein complex subunit organization,19_GO:0071840 cellular component organization or biogenesis,-3.6,2.3,4.1,27994,299,889,22,2.5,0.52,1659|1778|1939|3831|5822|6430|6636|9416|11171|22907|23212|26523|27161|27339|51065|51081|51657|57461|83939|91695|91746|92399,DHX8|DYNC1H1|EIF2D|KLC1|PWP2|SRSF5|SNRPF|DDX23|STRAP|DHX30|RRS1|AGO1|AGO2|PRPF19|RPS27L|MRPS7|STYXL1|ISY1|EIF2A|RRP7BP|YTHDC1|MRRF,-1.3,100 uM
Reactome Gene Sets,6,R-HSA-72163,mRNA Splicing - Major Pathway,,-3.6,2.8,4.3,27994,183,889,16,1.8,0.45,1655|1665|2521|2963|3184|4670|6430|6636|9416|9775|10250|11017|23524|27339|57461|100534599,DDX5|DHX15|FUS|GTF2F2|HNRNPD|HNRNPM|SRSF5|SNRPF|DDX23|EIF4A3|SRRM1|SNRNP27|SRRM2|PRPF19|ISY1|ISY1-RAB43,-1.3,100 uM
GO Biological Processes,19,GO:0034655,nucleobase-containing compound catabolic process,19_GO:0008152 metabolic process,-3.6,1.8,3.9,27994,674,889,39,4.4,0.69,317|1655|1854|1869|2521|3184|3939|4507|4670|5142|5144|5230|5578|5700|5705|5708|6832|6996|7431|9775|9972|10762|11182|22803|23098|23367|26523|27161|27443|51251|51341|51594|54888|55181|55603|80349|166863|169966|196513,APAF1|DDX5|DUT|E2F1|FUS|HNRNPD|LDHA|MTAP|HNRNPM|PDE4B|PDE4D|PGK1|PRKCA|PSMC1|PSMC5|PSMD2|SUPV3L1|TDG|VIM|EIF4A3|NUP153|NUP50|SLC2A6|XRN2|SARM1|LARP1|AGO1|AGO2|CECR2|NT5C3A|ZBTB7A|NBAS|NSUN2|SMG8|TENT5A|WDR61|RBM46|TENT5D|DCP1B,-1.3,100 uM
Reactome Gene Sets,6,R-HSA-211999,CYP2E1 reactions,,-3.6,11,6.3,27994,11,889,4,0.45,0.22,1555|1558|1559|1571,CYP2B6|CYP2C8|CYP2C9|CYP2E1,-1.3,100 uM
