© 2000-2020 QIAGEN. All rights reserved.

Upstream Regulator	Expr Fold Change	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
APEX1	 	enzyme	 	 	 	1.55E-02	ABCB10,TP53	 
4-methoxyhonokiol	 	chemical - endogenous non-mammalian	 	 	 	2.18E-02	BCL2L1	 
MYCN	 	transcription regulator	 	0.912	 	7.59E-03	ABCB10,ALDH1A1,BCL2L1,EIF4A1,HSPD1,IGFBP7,RPL19,RPL27A,RPL31,RPS2,RPS8,TP53	 
YY1	 	transcription regulator	 	-1.725	 	2.98E-04	BCL2L1,BRCA1,ERBB2,GRIN2D,H4C3,MYC,TIMP1,TP53	 
TCF4	1.505	transcription regulator	 	-0.577	 	1.75E-03	ADAMTS9,APCS,BARD1,CD9,DKK1,ELF1,GMPR,HTR2B,JAK2,mir-548,MYC,SGK1,SMAD7,SP140L	 
PTPN6	 	phosphatase	 	 	 	4.66E-02	BCL2L1,CXCL8	 
LAT2	 	other	 	 	 	2.18E-02	CXCL8	 
RTKN	 	other	 	 	 	1.55E-02	BCL2L1,BIRC3	 
STX6	 	transporter	 	 	 	4.32E-02	ITGA5	 
IL17RA	 	transmembrane receptor	 	 	 	9.29E-03	CCL20,CXCL8	 
KDM5B	 	transcription regulator	 	1.677	 	3.36E-02	BRCA1,BUB1B,GCA,KIF2C,LGALS3BP,SNRPD1	 
RPS7	 	other	 	 	 	1.41E-03	BCL2L1,TP53	 
EIF4E	 	translation regulator	 	-1.961	bias	2.29E-03	BCL2L1,DLG4,MYC,TP53	 
EEF2K	 	kinase	 	 	 	4.32E-02	BCL2L1	 
PELI2	 	enzyme	 	 	 	2.18E-02	CXCL8	 
NFKB1	 	transcription regulator	 	0.145	bias	1.31E-03	AGO2,BCL2L1,BIRC3,CCL20,CXCL8,CXCR1,IFNGR2,ITPR1,mir-208,MYC,TP53	45 (6)
RPA2	 	other	 	 	 	2.18E-02	MYC	 
alpha-santalol	 	chemical reagent	 	 	 	1.55E-02	BRCA1,TP53	 
mir-10	 	microRNA	 	1.418	bias	5.79E-04	AGO2,BCL2L1,ERBB2,HTATIP2,MKNK2,SMG1,SMO,TP53	 
LIF	 	cytokine	 	-1.000	 	2.66E-02	BCL2L1,CXCL8,MYC,TIMP1	 
BTG1	 	transcription regulator	 	 	 	4.32E-02	BCL2L1	 
CCNE1	 	transcription regulator	 	 	 	1.96E-03	BARD1,BRCA1,TP53	 
3-hydroxydodecanoic acid	 	chemical - endogenous mammalian	 	 	 	4.32E-02	CXCL8	 
6-n-octylaminouracil	 	chemical - kinase inhibitor	 	 	 	4.32E-02	CXCL8	 
BMP7	 	growth factor	 	 	 	3.49E-02	CXCL8,DKK1,GNG11,ITGA5,SMAD7,TIMP1	 
WT1-AS	 	other	 	 	 	2.18E-02	TP53	 
IFNG	 	cytokine	 	-1.019	 	2.13E-03	ADAMTS9,BANCR,BCL2L1,BIRC3,C5AR1,CCL20,CTSS,CXCL8,CYP2E1,DKK1,DLG4,ERBB2,FTX,HEIH,IGLC1,ITGA5,LGALS3BP,LGALS9,LY96,MAFF,MYC,PML,RFX5,SMAD7,SNHG16,TAC1,TIMP1,TLR8,TNFRSF12A,TP53	73 (13)
ELF4	 	transcription regulator	 	 	 	3.47E-02	CXCL8,RCAN1,TP53	 
NF1	 	other	 	 	 	1.55E-02	BCL2L1,MYC	 
FOXO3	 	transcription regulator	 	0.686	 	2.07E-02	BUB1B,CXCL8,HTATIP2,IGFBP1,KIF2C,MSTN,MYC,SGK1,SLIT2,TP53	 
HGF	 	growth factor	 	-0.527	bias	7.66E-03	BCL2L1,BIRC3,BUB1B,CKS1B,CXCL8,DKC1,HELLS,IL5RA,ITPR1,KIF2C,LYVE1,MYC,OSMR,SEMA3A,SGK1,ST14,TIMP1,TP53	71 (14)
PRDM2	 	transcription regulator	 	 	 	2.18E-02	MYC	 
TNFRSF1A	 	transmembrane receptor	 	 	 	3.21E-02	BCL2L1,BIRC3,CXCL8	 
RPS25	 	other	 	 	 	4.76E-04	MYC,TP53	 
STAM2	 	other	 	 	 	2.18E-02	MYC	 
TAGLN	 	other	 	 	 	4.32E-02	TP53	 
STAMBP	 	enzyme	 	 	 	4.32E-02	MYC	 
MIF	 	cytokine	 	0.343	 	2.19E-02	BCL2L1,CXCL8,TIMP1,TP53	 
AR	 	ligand-dependent nuclear receptor	 	-1.524	 	4.62E-02	BCL2L1,BUB1B,COX8A,ERBB2,KIF2C,MSTN,MYC,NAP1L1,PIAS3,SLC45A3,TNFRSF12A	 
MMP1	 	peptidase	 	-0.927	bias	1.65E-02	BRCA1,CXCL8,ERBB2,MYC	 
ZNF217	 	transcription regulator	 	 	 	2.53E-02	ARMCX5,MYC,PAK3,RCAN1,SEMA3A	 
PNPT1	 	enzyme	 	 	 	1.96E-03	BCL2L1,CXCL8,MYC	 
HIVEP2	1.298	transcription regulator	 	 	 	2.18E-02	MYC	 
16:0 ceramide-1-phosphate	 	chemical - endogenous mammalian	 	 	 	2.18E-02	CXCL8	 
NR3C1	 	ligand-dependent nuclear receptor	 	-0.756	 	1.07E-03	ARRB2,BARD1,BCL2L1,BIRC3,BRCA1,CGA,CIDEC,CXCL8,DNAJC15,ETNK2,IGFBP1,MAT1A,MDM4,MYC,NSMAF,RRAGC,SGK1,TIMP1,TNFRSF12A,TP53,VGLL2	80 (11)
ABL1	 	kinase	 	 	 	2.48E-02	CGA,MYC,TP53	 
PCGF2	 	transcription regulator	 	 	 	8.94E-03	MYC,TMEFF2,TP53	 
HRAS	 	enzyme	 	-0.728	 	4.74E-02	BCL2L1,BIRC3,CXCL8,F2RL2,ITGA5,MYC,PDGFC,PML,RASGRP1,TP53	 
STAT5A	 	transcription regulator	 	 	 	3.53E-02	AHSA2P,ANKRD22,CEMIP,H2AC18/H2AC19,MYC,TP53,UGP2	 
IREB2	 	translation regulator	 	 	 	1.22E-02	ALAS2,TP53	 
PTK2B	 	kinase	 	 	 	1.55E-02	CXCL8,TP53	 
TNFSF10	 	cytokine	 	-0.407	 	1.26E-02	BCL2L1,BIRC3,CXCL8,RCAN1,TIMP1,TP53	 
WEE1	 	kinase	 	 	 	2.18E-02	TP53	 
EPOR	 	transmembrane receptor	 	 	 	6.73E-03	BCL2L1,MYC	18 (3)
BMP2	 	growth factor	 	-0.342	 	1.43E-02	BCL2L1,DKK1,MYC,SMAD7,TAC1,TIMP1,TWSG1	 
ERBB2	-2.213	kinase	 	-1.053	 	4.99E-02	BARD1,BCL2L1,BUB1B,CKS1B,COL6A1,COL6A2,CXCL8,ERBB2,H4C3,ITGA5,LAMB1,MYC,NR1H2,POLD2,POLD3,SMAD7,SQLE,TP53	 
TYK2	 	kinase	 	 	 	3.64E-02	C5AR1,OSMR	 
NOX4	 	enzyme	 	 	 	2.96E-02	BCL2L1,CXCL8,TP53	 
TJP2	 	kinase	 	 	 	2.18E-02	BCL2L1	 
STUB1	 	enzyme	 	1.844	 	1.10E-02	ATG16L1,CTSS,ERBB2,TP53	 
RNF2	 	transcription regulator	 	 	 	2.30E-02	TMEFF2,TP53	 
IL6	 	cytokine	 	0.388	 	3.20E-02	APCS,BCL2L1,BUB1B,CCL20,CXCL8,CYP2E1,IGFBP1,ITPR1,JAK2,KIF2C,LY96,MYC,SGK1,SMO,TIMP1,TLR8,TP53	 
GNL2	 	enzyme	 	 	 	4.55E-03	MYC,TP53	 
PPP5C	 	phosphatase	 	 	 	6.73E-03	MYC,SGK1	 
UBL5	 	other	 	 	 	2.18E-02	MDM4	 
CDK2	 	kinase	 	 	 	1.49E-02	BARD1,BRCA1,MYC	 
RFX2	 	transcription regulator	 	 	 	1.22E-02	IL5RA,MYC	 
SP110	 	transcription regulator	 	1.134	 	2.15E-02	ACP1,LY96,MYC,PDGFC,ROCK2,RXRA,TIMP1	 
PLCD4	 	enzyme	 	 	 	4.32E-02	ERBB2	 
IL1B	 	cytokine	 	0.200	 	5.06E-04	BANCR,BARD1,BCL2L1,BGN,BIRC3,CCL20,CTSS,CXCL8,CXCR1,ERBB2,FTX,HEIH,IGFBP1,ITGA5,LGALS9,LY96,mir-101,NIBAN1,OSMR,RXRA,SEMA3A,SMAD7,SNHG16,TIMP1,TLR8	82 (12)
ADAM9	 	peptidase	 	 	 	1.41E-03	SLIT2,TIMP1	 
P4HA1	 	enzyme	 	 	 	2.18E-02	AGO2	 
TNFSF15	 	cytokine	 	 	 	2.30E-02	BIRC3,CXCL8	 
NFKBIA	 	transcription regulator	 	-0.616	 	1.39E-02	BCL2L1,BIRC3,BUB1B,CCL20,CXCL8,ERBB2,TAC1,TP53	 
HSPH1	 	other	 	 	 	4.32E-02	MYC	 
RARA	 	ligand-dependent nuclear receptor	 	-0.707	 	5.69E-03	CD53,CD9,CTSS,CXCL8,DNAJC21,H4C3,HELLS,IL5RA,LGALS3BP,MYC,NAV2,TTLL11	53 (4)
DDX20	1.139	transcription regulator	 	 	 	4.32E-02	TP53	 
NEU2	 	enzyme	 	 	 	4.32E-02	BCL2L1	 
PARK7	 	enzyme	 	 	 	2.30E-02	CXCL8,TP53	 
ERF	 	transcription regulator	 	 	 	2.18E-02	MYC	 
RELB	 	transcription regulator	 	 	 	1.30E-02	BCL2L1,BIRC3,CCL20,MYC	 
CCN1	 	other	 	-0.507	bias	2.11E-03	BCL2L1,CXCL8,ITGA5,MYC,TIMP1,TP53	69 (14)
cepharanthine	 	chemical reagent	 	 	 	9.29E-03	CXCL8,SIAE	 
DCN	 	other	 	 	 	1.66E-02	ERBB2,SEMA3A,TP53	 
PPP2R3A	 	phosphatase	 	 	 	2.18E-02	MYC	 
NEDD9	 	other	 	 	 	4.65E-02	MKNK2,PLAC8,PLIN2	 
ADD1	 	other	 	 	 	2.18E-02	DSG3	 
PCYT1A	 	enzyme	 	 	 	4.32E-02	MAT1A	 
PPP2R5A	-1.396	phosphatase	 	 	 	4.32E-02	MYC	 
ZBTB14	 	transcription regulator	 	 	 	2.18E-02	MYC	 
CTNNB1	 	transcription regulator	 	-1.104	 	6.92E-03	ALDH1A1,BCL2L1,CXCL8,CYP2E1,DKK1,FLOT2,MYC,PML,SFN,SGK1,SMAD7,SNHG16,SORBS3,TP53,UBA1	78 (12)
RAMAC	 	other	 	 	 	4.32E-02	MYC	 
RPS27	 	other	 	 	 	2.18E-02	TP53	 
YY2	 	transcription regulator	 	 	 	4.55E-03	MYC,TP53	 
TMPRSS4	 	peptidase	 	 	 	4.32E-02	ITGA5	 
RPS20	 	other	 	 	 	2.18E-02	MYC	 
CBX3	 	transcription regulator	 	 	 	2.72E-02	BCL2L1,MYC	 
EEF1A1	 	translation regulator	 	 	 	4.32E-02	MYC	 
RPS27L	1.088	translation regulator	 	 	 	2.18E-02	TP53	 
RCOR1	 	transcription regulator	 	 	 	1.55E-02	SCN1A,SMAD7	 
CUX1	1.229	transcription regulator	 	 	 	2.83E-02	ARHGDIB,CXCL8,H4C3,MYC	 
COL17A1	 	other	 	 	 	4.32E-02	CXCL8	 
CRIP2	 	other	 	 	 	4.32E-02	CXCL8	 
HMGB1	-1.170	transcription regulator	 	 	 	4.19E-02	BRCA1,CCL20,CXCL8,SMAD7	 
MUC1	 	other	 	-0.939	 	2.83E-02	ALDH1A1,CXCL8,MYC,POLD2	 
MYH9	 	enzyme	 	 	 	4.32E-02	MYC	 
SPRR3	 	other	 	 	 	2.18E-02	TP53	 
APH1B	 	peptidase	 	 	 	4.32E-02	TP53	 
BRD4	 	kinase	 	-1.720	bias	3.30E-02	BCL2L1,ITGA5,KAT2A,MAP3K1,MYC,PDGFC,TIMP1	 
IL17D	 	cytokine	 	 	 	4.32E-02	CXCL8	 
DEFB103A/DEFB103B	 	other	 	 	 	2.30E-02	BCL2L1,TAC1	 
USP17L2 (includes others)	 	peptidase	 	 	 	1.55E-02	ALDH1A1,MYC	 
NKRF	 	transcription regulator	 	 	 	4.32E-02	CXCL8	 
STYX	 	phosphatase	 	 	 	2.18E-02	MYC	 
RBM25	 	other	 	 	 	2.18E-02	BCL2L1	 
RPL5	1.364	other	 	 	 	2.77E-03	MYC,TP53	 
FADD	 	other	 	 	 	1.55E-02	CXCL8,MAP3K1	 
PELP1	 	other	 	 	 	3.49E-02	BCL2L1,CXCL8,GCA,MYC,NIBAN1,PSAT1	 
IL36A	 	cytokine	 	 	 	4.14E-02	CCL20,CXCL8	 
SIRPA	 	phosphatase	 	 	 	4.76E-04	BCL2L1,CXCL8	18 (3)
MAP3K11	 	kinase	 	 	 	1.55E-02	CXCL8,MYC	 
MI-319	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
BCKDHA	 	enzyme	 	 	 	4.32E-02	MYC	 
TAB1	 	enzyme	 	 	 	2.48E-02	BIRC3,CCL20,CXCL8	 
napabucasin	 	chemical drug	 	0.478	bias	4.34E-04	ALDH1A1,CXCL8,ERBB2,FLOT2,JAK2,MYC,SMO	 
AZGP1	 	transporter	 	 	 	3.14E-03	BCL2L1,ITGA5,MYC	 
MI-63	 	chemical reagent	 	 	 	4.32E-02	TP53	 
equol	 	chemical - endogenous non-mammalian	 	 	 	4.55E-03	BCL2L1,MYC	 
TP53	-2.626	transcription regulator	 	-1.479	 	1.12E-02	AGO2,ALDH1A1,ARHGEF2,ASXL1,BCL2L1,BIRC3,BRCA1,BUB1B,C9,CKS1B,CXCL8,CXCR1,DKK1,EIF4A1,ERBB2,GAL3ST4,IER5,IGFBP7,INPP4A,MDM4,ME2,mir-515,mir-548,MYC,NAP1L1,PAK3,PML,POLD2,SFN,SMAD7,SQLE,ST14,TP53	 
RAB4A	 	enzyme	 	 	 	4.32E-02	NEDD4L	 
ESR1	 	ligand-dependent nuclear receptor	 	-0.258	 	3.30E-02	ARHGEF2,BCL2L1,BIRC3,BRCA1,BUB1B,CCL20,CTSS,CXCL8,DNAJC21,ERBB2,FLOT2,H4C3,HELLS,HSPD1,IQGAP1,JAK2,LAMB1,LGALS3BP,MAP3K1,MAP3K13,MDM4,mir-515,MYC,NR1H2,PLIN2,PPM1B,PSAT1,SGK1,SLC16A2,SPG7,TP53,TTLL11,VRK2,WTAP,XRN1	 
CNTFR	 	transmembrane receptor	 	 	 	4.32E-02	CXCL8	 
MYC	-3.034	transcription regulator	 	0.643	 	2.11E-02	ABCB10,BCL2L1,BRCA1,CXCL8,DKC1,DKK1,ERBB2,GLYR1,GRK4,HSPD1,IFNA16,mir-101,mir-515,MYC,NAP1L1,PIAS3,SNHG16,TP53	 
NME1	 	kinase	 	 	 	1.41E-02	SMAD7,SMO,TIMP1,TP53	 
DEK	 	transcription regulator	 	 	 	9.29E-03	BIRC3,CXCL8	 
BCL2A1	 	other	 	 	 	2.18E-02	CXCL8	 
PIK3CD	 	kinase	 	 	 	6.73E-03	BCL2L1,CXCL8	 
DUOX2	 	enzyme	 	 	 	4.32E-02	TP53	 
COPS6	 	other	 	 	 	2.18E-02	SFN	 
GTSE1	 	other	 	 	 	2.18E-02	TP53	 
BIIB028	 	chemical drug	 	 	 	2.18E-02	ERBB2	 
CYP4A22-AS1	 	other	 	 	 	4.32E-02	CYP4A11	 
NMS-873	 	chemical reagent	 	 	 	2.18E-02	MYC	 
histone deacetylase inhibitor	 	chemical drug	 	 	 	2.71E-02	ERBB2,MYC,TP53	 
CSNK2A1	 	kinase	 	 	 	1.55E-02	BCL2L1,TP53	 
RPL21	 	other	 	 	 	2.18E-02	MYC	 
RPL7A	 	other	 	 	 	2.18E-02	TP53	 
SET	 	phosphatase	 	 	 	6.73E-03	BCL2L1,BRCA1	 
solamargine	 	chemical drug	 	 	 	2.18E-02	BCL2L1	 
depsipeptide	 	chemical - other	 	 	 	4.32E-02	BCL2L1	 
BP-1-102	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
subditine	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
atractylenolide I	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
PF-04928473	 	chemical reagent	 	 	 	4.32E-02	ERBB2	 
metacept-1	 	chemical reagent	 	 	 	4.32E-02	BCL2L1	 
E. coli 011:B4 lipopolysaccharide	 	chemical - endogenous non-mammalian	 	 	 	4.32E-02	BCL2L1	 
CPS49	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
picolog	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
flacourtia indica methanol extract	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
WJ9708012	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
rocaglaol	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
7,8-dihydroxy-4-methylcoumarin	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
N-[3-(trifluoromethyl)phenyl]retinamide	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
luffa echinata roxb fruit extract	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
gypenoside	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
pseudolaric acid B	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
alpinetin	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
bisindole-linked pyrrolo[2,1-c][1,4]benzodiazepine 5b	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
caseamembrin C	 	chemical reagent	 	 	 	4.32E-02	BCL2L1	 
zuo-jin-wan	 	chemical drug	 	 	 	2.18E-02	BCL2L1	 
dianthus chinensis l. ethanol extract	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
SPI-112Me	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
tetraacetyl-phytosphingosine	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
persea declinata (bl.) kosterm bark methanolic crude extract	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
nitidine	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
(+)-terpinen-4-ol	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
korean red ginseng extract	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
uncarinic acid E	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
THZ1	 	chemical - kinase inhibitor	 	1.980	bias	1.68E-03	ATXN7L1,BCL2L1,BIRC3,MYC	 
miR-135a mimic	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
hydroxyaminoindan	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
aloin	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
morusin	 	chemical - endogenous non-mammalian	 	 	 	2.18E-02	BCL2L1	 
costunolide	 	chemical - endogenous non-mammalian	 	 	 	3.16E-02	MYC,TP53	 
5-fluorouracil/thymidine	 	chemical drug	 	 	 	2.18E-02	TP53	 
H9 extract	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
HO-3867	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
let-7c mimic	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
raddeanin A	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
MPT0G009	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
fungal taxol	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
1-benzyl-2-phenylbenzimidazole	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
2-ethylestrone-3-O-sulfamate	 	chemical reagent	 	 	 	2.18E-02	TP53	 
AB1	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
EAPB0203	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
icariin	 	chemical drug	 	 	 	2.18E-02	BCL2L1	 
tinostamustine	 	chemical drug	 	 	 	2.18E-02	BCL2L1	 
zinc-citrate	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
6-azidomethyl-1-hydroxy-3,8-dimethoxy-9,10-anthraquinone	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
cardiotoxin III	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
deoxyapoaranotin	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
acetylapoaranotin	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
acetylaranotin	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
JOT01006	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
4-(3',5'-dimethoxybenzyloxy)-6-methoxyquinolin-2(1H)-one	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
TL-77	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
8-hydrocalamenene	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
gelam honey	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
farnesiferol C	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
hederagenin	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
pien tze huang methanol extract	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
MAPK substrate-4	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
2,2-dichloroacetophenone	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
mansonone E	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
liriope platyphylla root part extract	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
bornyl caffeate	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
AUH-6-96	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
MPT0B169	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
(-)-gossypol-enriched cottonseed oil	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
heteronemin	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
procyanidin B2-3'-O-gallate	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
sun ginseng extract	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
procyanidin B2-3,3'-di-O-gallate	 	chemical reagent	 	 	 	2.18E-02	BCL2L1	 
SAIT301	 	biologic drug	 	 	 	2.18E-02	BCL2L1	 
INCB054329	 	chemical drug	 	 	 	1.91E-02	JAK2,MYC	 
bimekizumab	 	biologic drug	 	 	 	4.32E-02	CXCL8	 
cigarette smoke	 	chemical toxicant	 	-0.942	 	1.70E-02	BCL2L1,CXCL8,SMAD7,TIMP1,TP53,TTC3	 
beractant	 	chemical drug	 	 	 	2.18E-02	CXCL8	 
sulfamethoxazole/trimethoprim	 	chemical drug	 	 	 	2.18E-02	CXCL8	 
ketone body	 	chemical - endogenous mammalian	 	 	 	2.18E-02	CYP2E1	 
premarin	 	chemical drug	 	 	 	3.64E-02	CXCL8,MYC	 
asbestos	 	chemical toxicant	 	 	 	4.32E-02	CXCL8	 
O-(chloroacetylcarbamoyl)fumagillol	 	chemical drug	 	 	 	4.32E-02	TP53	 
herbimycin	 	chemical - kinase inhibitor	 	 	 	2.48E-02	BCL2L1,CXCL8,CXCR1	 
sirolimus	 	chemical drug	 	-1.392	 	4.92E-06	ARHGDIB,BCL2L1,DLG4,EIF4A1,ERBB2,ERCC8,HSPD1,IGFBP1,LDHB,mir-154,mir-95,MYC,PML,RPL19,RPL27A,RPS2,RPS21,RPS29,RPS8,SFN,SQLE,TIMP1,TP53,UBA1	61 (8)
3-iodobenzylguanidine	 	chemical drug	 	 	 	4.32E-02	MYC	 
GW7647	 	chemical drug	 	 	 	4.66E-02	IGFBP1,PLIN2	 
deferiprone	 	chemical drug	 	 	 	4.32E-02	ALAS2	 
thenoyltrifluoroacetone	 	chemical reagent	 	 	 	4.55E-03	BIRC3,CXCL8	 
dacarbazine	 	chemical drug	 	 	 	9.29E-03	CXCL8,TP53	52 (8)
gemcitabine	 	chemical drug	 	0.512	 	3.38E-02	BCL2L1,CXCL8,MYC,TP53	 
cantharidin	 	chemical drug	 	 	 	1.22E-02	BCL2L1,RXRA	 
zoledronic acid	 	chemical drug	 	 	 	1.97E-03	BCL2L1,CXCL8,DKK1,TP53	65 (10)
pyrazole	 	chemical - endogenous non-mammalian	 	 	 	2.18E-02	CYP2E1	 
phenoxyacetic acid	 	chemical reagent	 	 	 	4.32E-02	MYC	 
EGTA acetoxymethyl ester	 	chemical reagent	 	 	 	6.73E-03	CXCL8,TP53	 
gefitinib	 	chemical drug	 	0.152	 	4.19E-03	ALDH1A1,BCL2L1,CXCL8,MAFF,SMO	41 (6)
chloroform	 	chemical toxicant	 	 	 	2.18E-02	CYP2E1	 
PD98059	 	chemical - kinase inhibitor	 	1.118	 	3.61E-02	BCL2L1,CCL20,CGA,CXCL8,ERBB2,IGFBP1,MYC,OSMR,PC,RPS2,SNRPD1,SQLE,TIMP1,TP53	 
bryostatin 1	 	chemical drug	 	1.274	 	2.29E-03	BIRC3,CXCL8,IFNGR2,MYC	60 (9)
temsirolimus	 	chemical drug	 	 	 	2.77E-03	BCL2L1,MYC	 
tamoxifen	 	chemical drug	 	0.150	 	2.12E-02	BCL2L1,BRCA1,CXCL8,CYP2E1,ERBB2,KIF2C,MAFF,MYC,SMAD7,TP53	 
LG100268	 	chemical reagent	 	 	 	3.16E-02	BCL2L1,PLIN2	 
tacrolimus	 	chemical drug	 	1.151	 	2.13E-03	BCL2L1,CXCL8,HSPD1,ITPR1,MYC,PLIN2,SMAD7,TNFRSF12A	71 (11)
nitric oxide	 	chemical - endogenous mammalian	 	0.931	 	4.72E-02	BCL2L1,CXCL8,MYC,SGK1,TP53	 
pyridine	 	chemical - endogenous mammalian	 	 	 	2.18E-02	CYP2E1	 
CP 96345	 	chemical drug	 	 	 	2.77E-03	CXCL8,TAC1	 
capsazepine	 	chemical toxicant	 	 	 	9.29E-03	CXCL8,TAC1	 
filipin	 	chemical - endogenous non-mammalian	 	 	 	4.32E-02	CXCL8	 
chloroquine	 	chemical drug	 	-0.665	 	1.91E-02	BCL2L1,CXCL8,RCAN1,TP53	 
JAK inhibitor I	 	chemical - kinase inhibitor	 	1.982	bias	9.98E-04	BANCR,BCL2L1,SGK1,TIMP1	6 (2)
tempol	 	chemical drug	 	0.000	 	4.25E-04	BCL2L1,BRCA1,CXCL8,TP53	45 (6)
3-nitropropionic acid	 	chemical toxicant	 	 	 	3.14E-03	MYC,TAC1,TP53	 
raloxifene	 	chemical drug	 	-0.378	 	1.67E-02	ACVRL1,ERBB2,H2AC18/H2AC19,LAMB1,ROCK2,SLIT2,SMAD7,TIMP1	 
GW501516	 	chemical drug	 	 	 	1.85E-02	IGFBP1,PLIN2,TP53	 
ethylene glycol tetraacetic acid	 	chemical reagent	 	 	 	4.68E-03	BIRC3,CXCL8,RCAN1	 
acetone	 	chemical - endogenous mammalian	 	 	 	4.32E-02	CYP2E1	 
rotenone	 	chemical toxicant	 	 	 	4.04E-02	BIRC3,TIMP1,TP53	 
tanespimycin	 	chemical drug	 	-0.143	 	3.15E-05	ARRB2,BCL2L1,BIRC3,CXCL8,DLG4,EIF4A1,ERBB2,JAK2,MYC,RPL27A,RPS8	57 (10)
1-methyl-4-phenylpyridinium	 	chemical toxicant	 	 	 	3.64E-02	HSPD1,TP53	 
bortezomib	 	chemical drug	 	0.711	 	1.35E-02	BCL2L1,BIRC3,BRCA1,CXCL8,DKK1,ERBB2,MYC,TLR8,TP53	 
isoniazid	 	chemical drug	 	 	 	2.18E-02	CYP2E1	 
quinolinic acid	 	chemical - endogenous mammalian	 	 	 	1.32E-02	MYC,TAC1,TP53	 
metformin	 	chemical drug	 	-0.277	 	1.20E-02	ADIPOR2,CXCL8,ERBB2,MSTN,MYC,PLIN2,SLIT2	 
quinacrine	 	chemical drug	 	 	 	2.30E-02	BCL2L1,TP53	 
indomethacin	 	chemical drug	 	0.758	 	2.44E-02	BCL2L1,COX8A,MYC,PLIN2,RPS21,RXRA	 
