© 2000-2020 QIAGEN. All rights reserved.

Upstream Regulator	Expr Fold Change	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
11-cis-retinal	 	chemical - endogenous mammalian	 	 	 	4.14E-02	RHO	 
tretinoin	 	chemical - endogenous mammalian	 	1.433	 	3.11E-02	AGO1,AKAP12,BIRC2,BLZF1,CD44,CEACAM1,COL4A3,CPT1A,CSF3R,CXCL10,CYP2C9,CYP7A1,DAB2,DHX15,EPB41L4A-AS1,FN1,GRB2,HMGCS2,HNRNPD,ID1,ID2,JUN,KRBOX4,let-7,MAP2K5,MEIS1,MERTK,mir-154,mir-19,mir-30 (includes others),mir-378,MOK,MORC2,NCOA1,NFATC3,NKX2-2,NR2C1,PAK1,PAX6,PCK1,PEG10,PLAUR,PRKCA,PRKCB,RASAL2,RBL2,RFC2,RNF213,RUNX3,SIGLEC12,SLC16A1,SLC27A2,SOX17,SRD5A3,STK10,THBS1,TIA1,TTC27,VEGFA,VIM	 
fenretinide	 	chemical drug	 	1.320	 	1.41E-04	ANKRD1,ATP1B2,BIRC2,DIAPH1,GOSR2,GRB2,JAK1,JUN,RBL2,VEGFA	 
benzene	 	chemical toxicant	 	 	 	4.14E-02	CYP2E1	 
filgrastim	 	biologic drug	 	-0.058	 	2.22E-02	ATP2B4,CARD6,CCT2,CD44,CEACAM1,CEP63,CXCL10,EPSTI1,HLA-DPA1,HLTF,HPGD,JAK2,JUN,LDHA,MERTK,PDE4B,PDE4D,PLAUR,POLB,PRKAR2B,RABGAP1L,RPS6KA5,SERPINB1,SGK1,VIM,VNN1,XRN2	 
astressin 2B	 	biologic drug	 	 	 	4.07E-02	HPGD,VEGFA	 
NCB-0846	 	chemical - kinase inhibitor	 	 	 	4.14E-02	JUN	 
doxorubicin	 	chemical drug	 	1.831	 	4.81E-02	ABCB4,APAF1,BIRC2,CD44,E2F1,EP300,ID1,ID2,JAK2,JUN,KMT5A,mir-506,PANK1,RBL2,TNFRSF10C,VEGFA,VIM,VTRNA2-1	 
ingenol mebutate	 	chemical drug	 	 	 	2.30E-02	PRKCA,PRKCB	 
forskolin	 	chemical toxicant	 	1.475	 	4.76E-02	ACOX1,AKAP12,CD44,CIDEC,CYP11A1,CYP19A1,DAB2,FN1,H19,HPGD,ID1,ID2,IGFBP1,JUN,PDE4B,PDE4D,PGK1,RASAL2,SGK1,TCF20,THBS1,TM4SF1,TXNIP,VEGFA	 
hyperforin	 	chemical drug	 	 	 	1.18E-02	ABCC2,CYP2B6,CYP2C9	 
genistein	 	chemical drug	 	1.849	 	1.00E-01	CD44,CITED2,CYP19A1,GGA3,GLMP,HPGD,ID1,IGF2R,JUN,KDSR,LAPTM5,RRAGC,SUMF1,VEGFA,VPS11	 
berberine	 	chemical drug	 	-1.667	 	4.10E-03	ACACA,BIRC2,CYP2B6,CYP2E1,CYP4A11,CYP7A1,FN1,VEGFA,VIM	122 (6)
paclitaxel	 	chemical drug	 	1.937	 	3.68E-01	CD44,CRP,CYP19A1,CYP2C8,CYP2C9,CYP2E1,FAM53B,JUN,KDSR,NXPH4,PLAUR,THBS1	 
staurosporine	 	chemical - kinase inhibitor	 	0.113	 	3.75E-03	CD28,CSF3R,CYP2E1,GGA3,H19,IGFBP1,PCK1,PIAS3,VEGFA	 
2-methoxy-5-(2',3',4'-trimethoxyphenyl)-2,4,6-cycloheptatrien-1-one	 	chemical reagent	 	 	 	4.14E-02	JUN	 
camptothecin	 	chemical drug	 	0.160	 	4.38E-02	ABCC2,APAF1,APBB2,BIRC2,E2F1,FXN,FZD7,GIT2,HPS5,ID1,IL13RA1,JUN,MAP2K5,MERTK,PAK2,PHF21A,PLCL2,PLIN2,PRKAR2B,PSMD2,RHEB,SMG8,SORL1,SPTBN1,STK38,STX11,TBC1D1,TRAF3,UBE2A,VEGFA,WNK1,ZNF574	 
D-lysergic acid diethylamide	 	chemical drug	 	 	 	4.14E-02	SGK1	 
colchicine	 	chemical drug	 	-0.702	 	6.27E-03	ABCC2,CYP2B6,CYP2C8,CYP2C9,JUN	 
ciprofibrate	 	chemical drug	 	 	 	1.83E-02	ACOX1,CRP,CYP2E1	 
bezafibrate	 	chemical drug	 	 	 	3.64E-02	ABCB4,CRP,PANK1	 
fenofibrate	 	chemical drug	 	-1.342	 	5.26E-03	ABCB4,ACOX1,APOB,CRP,CYP2C9,CYP7A1,FABP1,ID2	25 (3)
alpha-hydroxyglutarate	 	chemical - endogenous mammalian	 	 	 	2.30E-02	FN1,VIM	 
noladin ether	 	chemical - endogenous mammalian	 	 	 	9.74E-03	CREB3L3,CYP7A1	 
arachidonic acid	 	chemical - endogenous mammalian	 	1.964	 	1.02E-01	ACACA,ACOX1,JUN,PRKCB,VIM	 
poly rI:rC-RNA	 	biologic drug	 	-0.138	bias	1.00E-02	APOL1,BIRC2,CD44,CEACAM1,CRP,CXCL10,CYP7A1,EHF,GBP4,IGFBP1,MEIS1,MERTK,mir-154,mir-28,NUP153,PIGR,PLAUR,SAMD9,TNPO3,TRANK1,VEGFA	 
3'-adenylic acid	 	chemical - endogenous mammalian	 	 	 	4.14E-02	TXNIP	 
homocysteine thiolactone	 	chemical - endogenous mammalian	 	 	 	4.14E-02	VEGFA	 
allose	 	chemical - endogenous mammalian	 	 	 	4.14E-02	TXNIP	 
3-O-methylglucose	 	chemical reagent	 	 	 	4.14E-02	TXNIP	 
tetradecanoylphorbol acetate	 	chemical drug	 	-0.316	bias	2.22E-02	AHSA1,ATP2B4,CD28,CD44,CIDEC,CTLA4,CXCL10,CYP11A1,CYP19A1,CYP7A1,DAB2,E2F1,EIF4A3,EP300,ERCC6L,H19,HMBS,ID1,ID2,IGFBP1,IL22,IRF8,ITPR3,JUN,mir-28,mir-30 (includes others),MTMR3,PAK2,PCK1,PLAUR,PRKAR2B,PRKCA,PRKCB,PTPRB,SGK1,SLC16A1,SORL1,STAT5B,TBXAS1,THBS1,TRAF3,TTC9,VEGFA,VIM	 
androstenedione	 	chemical - endogenous mammalian	 	 	 	2.30E-02	CYP11A1,CYP19A1	 
R5020	 	chemical reagent	 	0.365	bias	4.52E-02	CYP19A1,E2F1,let-7,NCOA1,SGK1,STAT5B,TXNIP	 
norethynodrel	 	chemical toxicant	 	 	 	4.14E-02	VEGFA	 
spironolactone	 	chemical drug	 	 	 	3.79E-02	ABCC2,FN1,KL,VEGFA	 
mibolerone	 	chemical drug	 	 	 	1.61E-02	ACACA,EP300,JUN,TMPRSS2	 
norethindrone	 	chemical drug	 	 	 	4.14E-02	VEGFA	 
cannabidiol	 	chemical drug	 	 	 	4.78E-02	FN1,ID1,ID2	 
K+	 	chemical - endogenous mammalian	 	 	 	3.13E-02	CYP11A1,E2F1,JUN	 
