© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
3-phosphoinositide Biosynthesis	3.15E-01	4.37E-02	2.646	ACP6,FIG4,MTMR9,PI4KB,PIK3CB,PTPN23,STYXL1	
Granzyme B Signaling	3.12E-01	6.25E-02	NaN	APAF1	
Granzyme A Signaling	3.12E-01	6.25E-02	NaN	EP300	
Extrinsic Prothrombin Activation Pathway	3.12E-01	6.25E-02	NaN	F13B	
Mismatch Repair in Eukaryotes	3.12E-01	6.25E-02	NaN	RFC2	
Mitochondrial Dysfunction	3.1E-01	4.35E-02	NaN	ATP5PD,ATPAF1,CPT1A,CYB5A,FIS1,NDUFA4L2,NDUFA6	
MIF Regulation of Innate Immunity	3.08E-01	5E-02	NaN	JUN,PLA2G12A	
Mechanisms of Viral Exit from Host Cells	3.08E-01	5E-02	NaN	PRKCA,PRKCB	
Coronavirus Replication Pathway	3.08E-01	5E-02	NaN	PI4KB,TMPRSS2	
Apelin Endothelial Signaling Pathway	3.05E-01	4.42E-02	1.342	JUN,PIK3CB,PRKCA,PRKCB,RRAS2	
Pyridoxal 5'-phosphate Salvage Pathway	3E-01	4.62E-02	NaN	PAK1,PAK2,SGK1	
Dendritic Cell Maturation	2.98E-01	4.29E-02	1.342	CHUK,CREB3L3,ELP1,IRF8,JAK2,PIK3CB,PLCL2	
Triacylglycerol Biosynthesis	2.97E-01	4.88E-02	NaN	LPCAT1,MBOAT2	
Type II Diabetes Mellitus Signaling	2.96E-01	4.32E-02	1.000	ACSL5,CHUK,PIK3CB,PRKCA,PRKCB,SLC27A2	
RAN Signaling	2.93E-01	5.88E-02	NaN	KPNA4	
Purine Nucleotides Degradation II (Aerobic)	2.93E-01	5.88E-02	NaN	NT5C3A	
FAT10 Signaling Pathway	2.77E-01	5.56E-02	NaN	UBD	
tRNA Splicing	2.76E-01	4.65E-02	NaN	PDE4B,PDE4D	
Phagosome Formation	2.67E-01	4.2E-02	NaN	FN1,PIK3CB,PLCL2,PRKCA,PRKCB	
Factors Promoting Cardiogenesis in Vertebrates	2.61E-01	4.14E-02	1.633	CREB3L3,FZD7,PLCL2,PRKCA,PRKCB,WNT11	
TREM1 Signaling	2.59E-01	4.29E-02	NaN	GRB2,JAK2,STAT5B	
Xenobiotic Metabolism AHR Signaling Pathway	2.59E-01	4.29E-02	NaN	EP300,NCOA1,SENP1	
RhoA Signaling	2.55E-01	4.13E-02	2.000	ARPC2,ARPC5L,MYL6B,NRP2,SEPTIN2	
Atherosclerosis Signaling	2.55E-01	4.13E-02	NaN	APOA4,APOB,APOL1,PLA2G12A,PLA2G2C	
FAT10 Cancer Signaling Pathway	2.46E-01	4.35E-02	NaN	CHUK,UBD	
Regulation of Cellular Mechanics by Calpain Protease	2.44E-01	4.17E-02	NaN	CNGA1,GRB2,RRAS2	
Role of Wnt/GSK-3β Signaling in the Pathogenesis of Influenza	2.37E-01	4.11E-02	NaN	FZD7,NCOA1,WNT11	
Ephrin A Signaling	2.37E-01	4.26E-02	NaN	PAK1,PIK3CB	
Polyamine Regulation in Colon Cancer	2.2E-01	4.55E-02	NaN	AZIN1	
Vitamin-C Transport	2.09E-01	4.35E-02	NaN	STOM	
TCA Cycle II (Eukaryotic)	1.98E-01	4.17E-02	NaN	MDH1	
Glycolysis I	1.98E-01	4.17E-02	NaN	PGK1	
Natural Killer Cell Signaling	-0E00	3.85E-02	1.890	GRB2,JAK2,NFATC3,PAK1,PAK2,PIK3CB,RRAS2	
Circadian Rhythm Signaling	-0E00	3.03E-02	NaN	CREB3L3	
Leukocyte Extravasation Signaling	-0E00	2.65E-02	1.000	CD44,CLDN17,PIK3CB,PRKCA,PRKCB	
Aryl Hydrocarbon Receptor Signaling	-0E00	3.73E-02	0.000	APAF1,E2F1,EP300,JUN,RBL2	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	-0E00	3.31E-02	NaN	COL4A3,CYP2E1,FN1,IFNAR2,MYL6B,VEGFA	
Caveolar-mediated Endocytosis Signaling	-0E00	2.82E-02	NaN	FLNB,PRKCA	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	-0E00	2.08E-02	NaN	PIK3CB,PRKCA,PRKCB	
FcγRIIB Signaling in B Lymphocytes	-0E00	4E-02	NaN	GRB2,PIK3CB,RRAS2	
CCR5 Signaling in Macrophages	-0E00	3.49E-02	NaN	JUN,PRKCA,PRKCB	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	-0E00	3.57E-02	NaN	APAF1	
Airway Pathology in Chronic Obstructive Pulmonary Disease	-0E00	1.77E-02	NaN	FGF11,IL22	
IL-15 Production	-0E00	3.39E-02	1.000	JAK1,JAK2,MAP2K5,MERTK	
T Helper Cell Differentiation	-0E00	1.56E-02	NaN	CD28	
Role of Cytokines in Mediating Communication between Immune Cells	-0E00	1.92E-02	NaN	IL22	
Semaphorin Signaling in Neurons	-0E00	3.51E-02	NaN	PAK1,PAK2	
HMGB1 Signaling	-0E00	3.82E-02	1.633	JUN,KAT6B,KAT7,MAP2K5,PIK3CB,RRAS2	
Human Embryonic Stem Cell Pluripotency	-0E00	2.27E-02	NaN	FZD7,PIK3CB,WNT11	
Antiproliferative Role of Somatostatin Receptor 2	-0E00	2.7E-02	NaN	PIK3CB,RRAS2	
Germ Cell-Sertoli Cell Junction Signaling	-0E00	2.42E-02	NaN	PAK1,PAK2,PIK3CB,RRAS2	
CREB Signaling in Neurons	-0E00	3.61E-02	2.065	ADGRG7,CREB3L3,EP300,FZD7,GNAT2,GPR50,GRB2,IGF2R,ITPR3,P2RY1,PIK3CB,PLCL2,PRKACB,PRKAR2B,PRKCA,PRKCB,RHO,RRAS2,SUCNR1,VEGFA,VN1R1	
Basal Cell Carcinoma Signaling	-0E00	2.86E-02	NaN	FZD7,WNT11	
Autoimmune Thyroid Disease Signaling	-0E00	2.86E-02	NaN	CD28	
Graft-versus-Host Disease Signaling	-0E00	2.63E-02	NaN	CD28	
G Protein Signaling Mediated by Tubby	-0E00	3.33E-02	NaN	JAK2	
Communication between Innate and Adaptive Immune Cells	-0E00	2.67E-02	NaN	CD28,CXCL10	
Sphingosine-1-phosphate Signaling	-0E00	1.75E-02	NaN	PIK3CB,PLCL2	
Crosstalk between Dendritic Cells and Natural Killer Cells	-0E00	1.27E-02	NaN	CD28	
Breast Cancer Regulation by Stathmin1	-0E00	3.66E-02	1.964	ADGRG7,ARHGEF15,CREB3L3,E2F1,FZD7,GPR50,GRB2,JUN,P2RY1,PAK1,PIK3CB,PPP2R1B,PRKACB,PRKAR2B,PRKCA,PRKCB,RHO,RRAS2,SUCNR1,VEGFA,VN1R1	
Neuroprotective Role of THOP1 in Alzheimer's Disease	-0E00	2.75E-02	NaN	PRKACB,PRKAR2B,TMPRSS2	
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	-0E00	1.64E-02	NaN	PIK3CB	
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	-0E00	2.5E-02	NaN	CXCL10	
Antiproliferative Role of TOB in T Cell Signaling	-0E00	3.03E-02	NaN	CD28	
MSP-RON Signaling Pathway	-0E00	3.45E-02	NaN	JAK2,PIK3CB	
MIF-mediated Glucocorticoid Regulation	-0E00	3.12E-02	NaN	PLA2G12A	
Intrinsic Prothrombin Activation Pathway	-0E00	2.44E-02	NaN	F13B	
Cyclins and Cell Cycle Regulation	-0E00	3.75E-02	NaN	BTRC,E2F1,PPP2R1B	
Assembly of RNA Polymerase II Complex	-0E00	2E-02	NaN	GTF2E2	
Role of IL-17A in Arthritis	-0E00	1.85E-02	NaN	PIK3CB	
Ephrin B Signaling	-0E00	2.78E-02	NaN	GNAT2,PAK1	
Estrogen-mediated S-phase Entry	-0E00	3.85E-02	NaN	E2F1	
Heparan Sulfate Biosynthesis	-0E00	1.56E-02	NaN	PLA1A	
Heparan Sulfate Biosynthesis (Late Stages)	-0E00	1.75E-02	NaN	PLA1A	
D-myo-inositol-5-phosphate Metabolism	-0E00	3.97E-02	2.449	ACP6,FIG4,MTMR9,PIP4K2A,PTPN23,STYXL1	
tRNA Charging	-0E00	2.63E-02	NaN	VARS1	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	-0E00	3.68E-02	2.236	ACP6,FIG4,MTMR9,PTPN23,STYXL1	
Serotonin Degradation	-0E00	4.08E-02	NaN	UGT2B10,UGT3A1	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	-0E00	3.68E-02	2.236	ACP6,FIG4,MTMR9,PTPN23,STYXL1	
3-phosphoinositide Degradation	-0E00	4E-02	2.449	ACP6,FIG4,MTMR3,MTMR9,PTPN23,STYXL1	
Retinol Biosynthesis	-0E00	2.7E-02	NaN	PNLIPRP3	
Epithelial Adherens Junction Signaling	-0E00	3.36E-02	NaN	ARPC2,ARPC5L,CLIP1,MYL6B,RRAS2	
Gαi Signaling	-0E00	3.23E-02	1.000	GRB2,PRKACB,PRKAR2B,RRAS2	
Gαs Signaling	-0E00	3.77E-02	NaN	CNGA1,CREB3L3,PRKACB,PRKAR2B	
PEDF Signaling	-0E00	3.66E-02	NaN	CHUK,PIK3CB,RRAS2	
Agranulocyte Adhesion and Diapedesis	-0E00	2.91E-02	NaN	CLDN17,CXCL10,CXCL16,FN1,MYL6B	
Granulocyte Adhesion and Diapedesis	-0E00	2.58E-02	NaN	CLDN17,CSF3R,CXCL10,CXCL16	
Oxidative Phosphorylation	-0E00	4E-02	2.000	ATP5PD,ATPAF1,CYB5A,NDUFA6	
Adipogenesis pathway	-0E00	3.82E-02	NaN	FZD7,KAT6B,KAT7,STAT5B,TXNIP	
Unfolded protein response	-0E00	1.85E-02	NaN	EIF2A	
Toll-like Receptor Signaling	-0E00	4E-02	NaN	CHUK,JUN,UBD	
Amyloid Processing	-0E00	4E-02	NaN	PRKACB,PRKAR2B	
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	-0E00	4.08E-02	NaN	BTRC,EP300	
GABA Receptor Signaling	-0E00	2.13E-02	NaN	DNM1,UBD	
Antigen Presentation Pathway	-0E00	2.78E-02	NaN	HLA-DPA1	
Integrin Signaling	-0E00	3.43E-02	2.646	ARPC2,ARPC5L,GRB2,PAK1,PAK2,PIK3CB,RRAS2	
Dopamine Receptor Signaling	-0E00	4E-02	NaN	PPP2R1B,PRKACB,PRKAR2B	
cAMP-mediated signaling	-0E00	4.02E-02	1.890	AKAP12,AKAP4,CNGA1,CREB3L3,PDE4B,PDE4D,PPP3CB,PRKACB,PRKAR2B	
p38 MAPK Signaling	-0E00	2.65E-02	NaN	CREB3L3,PLA2G12A,RPS6KA5	
Notch Signaling	-0E00	2.7E-02	NaN	DTX3	
Gustation Pathway	-0E00	4.05E-02	NaN	ITPR3,P2RY1,PDE4B,PDE4D,PRKACB,PRKAR2B	
Phagosome Maturation	-0E00	3.62E-02	NaN	DYNC1H1,EEA1,GOSR2,VPS11,VPS37A	
Autophagy	-0E00	3.77E-02	NaN	ATG16L1,VPS11	
Osteoarthritis Pathway	-0E00	3.3E-02	0.378	CHUK,CREB3L3,FN1,FZD7,H19,PRG4,VEGFA	
NER Pathway	-0E00	3.96E-02	NaN	EP300,LIG4,POLK,RFC2	
Endocannabinoid Neuronal Synapse Pathway	-0E00	3.15E-02	1.000	PLCL2,PPP3CB,PRKACB,PRKAR2B	
Apelin Adipocyte Signaling Pathway	-0E00	2.56E-02	NaN	PRKACB,PRKAR2B	
BAG2 Signaling Pathway	-0E00	2.38E-02	NaN	UBE2D1	
Synaptogenesis Signaling Pathway	-0E00	3.91E-02	2.309	ARPC2,ARPC5L,CREB3L3,GOSR2,GRB2,PAK1,PIK3CB,PRKACB,PRKAR2B,RRAS2,SYT11,THBS1	
Regulation Of The Epithelial Mesenchymal Transition In Development Pathway	-0E00	2.41E-02	NaN	FZD7,WNT11	
Kinetochore Metaphase Signaling Pathway	-0E00	3.06E-02	NaN	ANAPC1,CENPN,SMC1A	
Complement System	-0E00	2.78E-02	NaN	C4A/C4B	
