© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Spliceosomal Cycle	-0E00	2.08E-02	NaN	PRPF18	
Transcriptional Regulatory Network in Embryonic Stem Cells	-0E00	1.89E-02	NaN	ONECUT1	
Ephrin B Signaling	-0E00	1.39E-02	NaN	ROCK2	
Netrin Signaling	-0E00	3.08E-02	NaN	CACNA1C,CACNB4	
Pyrimidine Ribonucleotides De Novo Biosynthesis	-0E00	2.44E-02	NaN	NUDT9	
tRNA Splicing	-0E00	2.33E-02	NaN	PDE4B	
Phospholipases	-0E00	1.67E-02	NaN	PLAAT1	
Dermatan Sulfate Biosynthesis	-0E00	1.82E-02	NaN	DSEL	
Dermatan Sulfate Biosynthesis (Late Stages)	-0E00	2.38E-02	NaN	DSEL	
Triacylglycerol Biosynthesis	-0E00	2.44E-02	NaN	ELOVL6	
Salvage Pathways of Pyrimidine Ribonucleotides	-0E00	3.19E-02	NaN	CDK7,GRK4,PRKX	
Pyrimidine Ribonucleotides Interconversion	-0E00	2.56E-02	NaN	NUDT9	
Fatty Acid β-oxidation I	-0E00	3.33E-02	NaN	HADHB	
Antioxidant Action of Vitamin C	-0E00	1.94E-02	NaN	PLAAT1,SLC2A2	
Gαi Signaling	-0E00	8.06E-03	NaN	KRAS	
Gαs Signaling	-0E00	1.89E-02	NaN	CNGA1,CREB3L3	
Remodeling of Epithelial Adherens Junctions	-0E00	1.56E-02	NaN	TUBA3E	
Agranulocyte Adhesion and Diapedesis	-0E00	1.74E-02	NaN	CXCR1,MMP27,RDX	
Granulocyte Adhesion and Diapedesis	-0E00	1.29E-02	NaN	MMP27,RDX	
UVC-Induced MAPK Signaling	-0E00	1.96E-02	NaN	KRAS	
Adipogenesis pathway	-0E00	3.05E-02	NaN	BMPR2,CDK7,KAT2B,SIN3A	
PCP pathway	-0E00	1.67E-02	NaN	ROCK2	
Unfolded protein response	-0E00	1.85E-02	NaN	ERO1B	
Wnt/Ca+ pathway	-0E00	1.64E-02	NaN	CREB3L3	
Wnt/β-catenin Signaling	-0E00	1.78E-02	NaN	BMPR2,PPP2R5A,TCF4	
Serotonin Receptor Signaling	-0E00	2.44E-02	NaN	HTR2B	
Phototransduction Pathway	-0E00	1.96E-02	NaN	CNGA1	
Death Receptor Signaling	-0E00	1.11E-02	NaN	TBK1	
PPAR Signaling	-0E00	1.96E-02	NaN	HSP90AA1,KRAS	
Dopamine Receptor Signaling	-0E00	2.67E-02	NaN	PPP1R12A,PPP2R5A	
cAMP-mediated signaling	-0E00	3.12E-02	0.000	AKAP12,AKAP5,CAMK2D,CNGA1,CREB3L3,GRK4,PDE4B	
p38 MAPK Signaling	-0E00	1.77E-02	NaN	CREB3L3,RPS6KA3	
TGF-β Signaling	-0E00	2.08E-02	NaN	BMPR2,KRAS	
Apoptosis Signaling	-0E00	2.02E-02	NaN	BCL2L11,KRAS	
BMP signaling pathway	-0E00	2.41E-02	NaN	BMPR2,KRAS	
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	-0E00	1.39E-02	NaN	ITPR2	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	-0E00	2.7E-02	NaN	CACNA1C,CACNB4,ITPR2	
Gustation Pathway	-0E00	3.38E-02	NaN	CACNA1C,CACNB4,ITPR2,PDE4B,TAS2R39	
Phagosome Maturation	-0E00	2.17E-02	NaN	CTSE,EEA1,TUBA3E	
Sumoylation Pathway	-0E00	2.97E-02	NaN	RHOJ,RHOQ,ZEB1	
Th1 and Th2 Activation Pathway	-0E00	3.12E-02	NaN	BMPR2,IFNAR1,PIK3C2A,PIK3CA,PIK3R1	
Th1 Pathway	-0E00	3.64E-02	-2.000	IFNAR1,PIK3C2A,PIK3CA,PIK3R1	
Th2 Pathway	-0E00	3.15E-02	-1.000	BMPR2,PIK3C2A,PIK3CA,PIK3R1	
Osteoarthritis Pathway	-0E00	2.36E-02	NaN	BMPR2,CREB3L3,HMGB1,ITGB3,TCF4	
Sirtuin Signaling Pathway	-0E00	3.25E-02	-0.816	ATG16L1,BCL2L11,HMGCS2,LDHB,MAP1LC3B,POLR1A,SMARCA5,TIMM50,TUBA3E	
Adrenomedullin signaling pathway	-0E00	2.6E-02	-2.236	ITPR2,KRAS,PIK3C2A,PIK3CA,PIK3R1	
Iron homeostasis signaling pathway	-0E00	2.31E-02	NaN	BMPR2,CREB3L3,HSCB	
Th17 Activation Pathway	-0E00	3.61E-02	NaN	DEFB1,DEFB115,HSP90AA1	
SPINK1 Pancreatic Cancer Pathway	-0E00	3.64E-02	NaN	KLKB1,SPINK1	
Endocannabinoid Neuronal Synapse Pathway	-0E00	2.36E-02	NaN	CACNA1C,CACNB4,GRIN2D	
Apelin Adipocyte Signaling Pathway	-0E00	2.56E-02	NaN	GSTA1,GSTM2	
Apelin Cardiomyocyte Signaling Pathway	-0E00	3.06E-02	NaN	PIK3C2A,PIK3CA,PIK3R1	
Apelin Endothelial Signaling Pathway	-0E00	3.54E-02	-2.000	KRAS,PIK3C2A,PIK3CA,PIK3R1	
BAG2 Signaling Pathway	-0E00	2.38E-02	NaN	HSP90AA1	
PFKFB4 Signaling Pathway	-0E00	2.17E-02	NaN	CREB3L3	
Inhibition of ARE-Mediated mRNA Degradation Pathway	-0E00	2.48E-02	NaN	DCP2,PPP2R5A,XRN1	
Necroptosis Signaling Pathway	-0E00	2.72E-02	-2.000	CAMK2D,IFNAR1,TIMM50,TRPM7	
Regulation Of The Epithelial Mesenchymal Transition In Development Pathway	-0E00	2.41E-02	NaN	PYGO2,TCF4	
Coronavirus Pathogenesis Pathway	-0E00	3.47E-02	2.000	BCL2L11,IFNAR1,NPM1,SIN3A,TBK1	
Coronavirus Replication Pathway	-0E00	2.5E-02	NaN	TUBA3E	
Calcium Signaling	-0E00	3.57E-02	-1.134	AKAP5,CACNA1C,CACNB4,CAMK2D,CREB3L3,GRIN2D,ITPR2	
Complement System	-0E00	2.78E-02	NaN	C9	
Eicosanoid Signaling	-0E00	3.23E-02	NaN	CYSLTR2,PLAAT1	
Ephrin Receptor Signaling	-0E00	2.69E-02	-1.000	CREB3L3,GRIN2D,ITGB3,KRAS,ROCK2	
